title,genres,rating
Apollo 13 (1995),Adventure|Drama|IMAX,3
Rob Roy (1995),Action|Drama|Romance|War,4
"Addiction, The (1995)",Drama|Horror,4
Batman Forever (1995),Action|Adventure|Comedy|Crime,4
Beauty of the Day (Belle de jour) (1967),Drama,5
Beyond Rangoon (1995),Adventure|Drama|War,3
Blue in the Face (1995),Comedy|Drama,4
Canadian Bacon (1995),Comedy|War,4
Casper (1995),Adventure|Children,4
Clockers (1995),Crime|Drama|Mystery,4
Congo (1995),Action|Adventure|Mystery|Sci-Fi,2
Crimson Tide (1995),Drama|Thriller|War,4
Crumb (1994),Documentary,4
Desperado (1995),Action|Romance|Western,5
Devil in a Blue Dress (1995),Crime|Film-Noir|Mystery|Thriller,4
Die Hard: With a Vengeance (1995),Action|Crime|Thriller,4
"Doom Generation, The (1995)",Comedy|Crime|Drama,3
First Knight (1995),Action|Drama|Romance,3
Free Willy 2: The Adventure Home (1995),Adventure|Children|Drama,4
Hackers (1995),Action|Adventure|Crime|Thriller,5
Jeffrey (1995),Comedy|Drama,5
Johnny Mnemonic (1995),Action|Sci-Fi|Thriller,4
Judge Dredd (1995),Action|Crime|Sci-Fi,4
Jury Duty (1995),Comedy,5
Kids (1995),Drama,5
Living in Oblivion (1995),Comedy,3
Lord of Illusions (1995),Horror,3
Love & Human Remains (1993),Comedy|Drama,4
Mad Love (1995),Drama|Romance,4
Mallrats (1995),Comedy|Romance,3
Mighty Morphin Power Rangers: The Movie (1995),Action|Children,3
Moonlight and Valentino (1995),Drama|Romance,5
Mute Witness (1994),Comedy|Horror|Thriller,5
Nadja (1994),Drama,4
"Net, The (1995)",Action|Crime|Thriller,5
Nine Months (1995),Comedy|Romance,3
Party Girl (1995),Comedy,5
"Prophecy, The (1995)",Fantasy|Horror|Mystery,4
Safe (1995),Thriller,3
"Scarlet Letter, The (1995)",Drama|Romance,3
Showgirls (1995),Drama,5
Smoke (1995),Comedy|Drama,4
Something to Talk About (1995),Comedy|Drama|Romance,3
Species (1995),Horror|Sci-Fi,5
Strange Days (1995),Action|Crime|Drama|Mystery|Sci-Fi|Thriller,5
"Umbrellas of Cherbourg, The (Parapluies de Cherbourg, Les) (1964)",Drama|Musical|Romance,3
"Tie That Binds, The (1995)",Thriller,3
Three Wishes (1995),Drama|Fantasy,3
Total Eclipse (1995),Drama|Romance,3
"To Wong Foo, Thanks for Everything! Julie Newmar (1995)",Comedy,4
Under Siege 2: Dark Territory (1995),Action,4
Unstrung Heroes (1995),Comedy|Drama,3
Unzipped (1995),Documentary,3
"Walk in the Clouds, A (1995)",Drama|Romance,3
Waterworld (1995),Action|Adventure|Sci-Fi,3
White Man's Burden (1995),Drama,3
Wild Bill (1995),Western,4
"Browning Version, The (1994)",Drama,3
Bushwhacked (1995),Adventure|Comedy|Crime|Mystery,4
Burnt by the Sun (Utomlyonnye solntsem) (1994),Drama,3
Before the Rain (Pred dozhdot) (1994),Drama|War,4
Before Sunrise (1995),Drama|Romance,4
Billy Madison (1995),Comedy,3
"Babysitter, The (1995)",Drama|Thriller,4
Boys on the Side (1995),Comedy|Drama,4
"Cure, The (1995)",Drama,3
Castle Freak (1995),Horror,5
Circle of Friends (1995),Drama|Romance,5
Clerks (1994),Comedy,4
Don Juan DeMarco (1995),Comedy|Drama|Romance,5
Disclosure (1994),Drama|Thriller,3
Dream Man (1995),Thriller,3
Drop Zone (1994),Action|Thriller,4
Destiny Turns on the Radio (1995),Comedy,3
Death and the Maiden (1994),Drama|Thriller,4
Dolores Claiborne (1995),Drama|Thriller,3
Dumb & Dumber (Dumb and Dumber) (1994),Adventure|Comedy,3
Eat Drink Man Woman (Yin shi nan nu) (1994),Comedy|Drama|Romance,3
Exotica (1994),Drama,4
Exit to Eden (1994),Comedy,3
Ed Wood (1994),Comedy|Drama,5
French Kiss (1995),Action|Comedy|Romance,4
Forget Paris (1995),Comedy|Romance,3
Far From Home: The Adventures of Yellow Dog (1995),Adventure|Children,5
"Goofy Movie, A (1995)",Animation|Children|Comedy|Romance,4
Hideaway (1995),Thriller,4
Fluke (1995),Children|Drama,3
Farinelli: il castrato (1994),Drama|Musical,5
Gordy (1995),Children|Comedy|Fantasy,4
The Glass Shield (1994),Crime|Drama,4
Hoop Dreams (1994),Documentary,5
Heavenly Creatures (1994),Crime|Drama,4
Houseguest (1994),Comedy,4
Immortal Beloved (1994),Drama|Romance,4
Heavyweights (Heavy Weights) (1995),Children|Comedy,4
"Hunted, The (1995)",Action,5
I.Q. (1994),Comedy|Romance,5
Interview with the Vampire: The Vampire Chronicles (1994),Drama|Horror,5
Jefferson in Paris (1995),Drama,4
"Jerky Boys, The (1995)",Comedy,3
Junior (1994),Comedy|Sci-Fi,4
Just Cause (1995),Mystery|Thriller,4
"Kid in King Arthur's Court, A (1995)",Adventure|Children|Comedy|Fantasy|Romance,4
Kiss of Death (1995),Crime|Drama|Thriller,4
Star Wars: Episode IV - A New Hope (1977),Action|Adventure|Sci-Fi,5
Little Women (1994),Drama,4
"Little Princess, A (1995)",Children|Drama,5
Ladybird Ladybird (1994),Drama,4
Like Water for Chocolate (Como agua para chocolate) (1992),Drama|Fantasy|Romance,5
Legends of the Fall (1994),Drama|Romance|War|Western,4
Major Payne (1995),Comedy,5
Little Odessa (1994),Crime|Drama,5
My Crazy Life (Mi vida loca) (1993),Drama,5
Love Affair (1994),Drama|Romance,4
Losing Isaiah (1995),Drama,5
"Madness of King George, The (1994)",Comedy|Drama,5
Mary Shelley's Frankenstein (Frankenstein) (1994),Drama|Horror|Sci-Fi,4
Man of the House (1995),Comedy,4
Mixed Nuts (1994),Comedy,5
Milk Money (1994),Comedy|Romance,5
Miracle on 34th Street (1994),Drama,4
Miami Rhapsody (1995),Comedy,4
My Family (1995),Drama,4
Murder in the First (1995),Drama|Thriller,4
Nobody's Fool (1994),Comedy|Drama|Romance,5
Nell (1994),Drama,5
New Jersey Drive (1995),Crime|Drama,4
Natural Born Killers (1994),Action|Crime|Thriller,4
Only You (1994),Comedy|Romance,4
Once Were Warriors (1994),Crime|Drama,3
Poison Ivy II (1996),Drama|Thriller,4
Outbreak (1995),Action|Drama|Sci-Fi|Thriller,5
Léon: The Professional (a.k.a. The Professional) (Léon) (1994),Action|Crime|Drama|Thriller,5
"Perez Family, The (1995)",Comedy|Romance,5
Pulp Fiction (1994),Comedy|Crime|Drama|Thriller,4
Pushing Hands (Tui shou) (1992),Drama,3
Priest (1994),Drama,4
Quiz Show (1994),Drama,5
Picture Bride (Bijo photo) (1994),Drama|Romance,4
"Queen Margot (Reine Margot, La) (1994)",Drama|Romance,5
"Quick and the Dead, The (1995)",Action|Thriller|Western,4
Roommates (1995),Comedy|Drama,4
Ready to Wear (Pret-A-Porter) (1994),Comedy,5
Three Colors: Red (Trois couleurs: Rouge) (1994),Drama,4
Three Colors: Blue (Trois couleurs: Bleu) (1993),Drama,5
Three Colors: White (Trzy kolory: Bialy) (1994),Comedy|Drama,5
"Red Firecracker, Green Firecracker (Pao Da Shuang Deng) (1994)",Drama,3
Stuart Saves His Family (1995),Comedy,5
"Swan Princess, The (1994)",Animation|Children,4
"Secret of Roan Inish, The (1994)",Children|Drama|Fantasy|Mystery,5
"Specialist, The (1994)",Action|Drama|Thriller,4
Stargate (1994),Action|Adventure|Sci-Fi,4
"Santa Clause, The (1994)",Comedy|Drama|Fantasy,4
"Shawshank Redemption, The (1994)",Crime|Drama,3
Shallow Grave (1994),Comedy|Drama|Thriller,4
Suture (1993),Film-Noir|Thriller,4
Strawberry and Chocolate (Fresa y chocolate) (1993),Drama,4
Swimming with Sharks (1995),Comedy|Drama,4
"Sum of Us, The (1994)",Comedy|Drama,3
National Lampoon's Senior Trip (1995),Comedy,4
To Live (Huozhe) (1994),Drama,5
Tank Girl (1995),Action|Comedy|Sci-Fi,5
Tales from the Crypt Presents: Demon Knight (1995),Horror|Thriller,2
Star Trek: Generations (1994),Adventure|Drama|Sci-Fi,4
Tales from the Hood (1995),Action|Crime|Horror,4
Tom & Viv (1994),Drama,5
Village of the Damned (1995),Horror|Sci-Fi,3
Tommy Boy (1995),Comedy,4
Vanya on 42nd Street (1994),Drama,4
Underneath (1995),Mystery|Thriller,5
"Walking Dead, The (1995)",Drama|War,5
What's Eating Gilbert Grape (1993),Drama,4
Virtuosity (1995),Action|Sci-Fi|Thriller,5
While You Were Sleeping (1995),Comedy|Romance,4
"War, The (1994)",Adventure|Drama|War,4
Double Happiness (1994),Drama,4
Muriel's Wedding (1994),Comedy,3
"Baby-Sitters Club, The (1995)",Children,5
Ace Ventura: Pet Detective (1994),Comedy,4
"Adventures of Priscilla, Queen of the Desert, The (1994)",Comedy|Drama,4
Backbeat (1993),Drama|Musical,4
Bitter Moon (1992),Drama|Film-Noir|Romance,1
Bullets Over Broadway (1994),Comedy,5
Clear and Present Danger (1994),Action|Crime|Drama|Thriller,4
"Client, The (1994)",Drama|Mystery|Thriller,4
"Corrina, Corrina (1994)",Comedy|Drama|Romance,2
Crooklyn (1994),Comedy|Drama,2
"Crow, The (1994)",Action|Crime|Fantasy|Thriller,3
Cobb (1994),Drama,5
"Flintstones, The (1994)",Children|Comedy|Fantasy,5
Forrest Gump (1994),Comedy|Drama|Romance|War,5
Four Weddings and a Funeral (1994),Comedy|Romance,3
Higher Learning (1995),Drama,4
I Love Trouble (1994),Action|Comedy,4
It Could Happen to You (1994),Comedy|Drama|Romance,4
"Jungle Book, The (1994)",Adventure|Children|Romance,2
"Wonderful, Horrible Life of Leni Riefenstahl, The (Macht der Bilder: Leni Riefenstahl, Die) (1993)",Documentary,4
"Lion King, The (1994)",Adventure|Animation|Children|Drama|Musical|IMAX,3
Little Buddha (1993),Drama,4
"Wes Craven's New Nightmare (Nightmare on Elm Street Part 7: Freddy's Finale, A) (1994)",Drama|Horror|Mystery|Thriller,4
"Mask, The (1994)",Action|Comedy|Crime|Fantasy,3
Maverick (1994),Adventure|Comedy|Western,3
Mrs. Parker and the Vicious Circle (1994),Drama,4
Naked Gun 33 1/3: The Final Insult (1994),Action|Comedy,5
"Paper, The (1994)",Comedy|Drama,5
Reality Bites (1994),Comedy|Drama|Romance,5
Red Rock West (1992),Thriller,5
Richie Rich (1994),Children|Comedy,5
Safe Passage (1994),Drama,5
"River Wild, The (1994)",Action|Thriller,5
Speed (1994),Action|Romance|Thriller,4
Speechless (1994),Comedy|Romance,3
Timecop (1994),Action|Sci-Fi|Thriller,5
True Lies (1994),Action|Adventure|Comedy|Romance|Thriller,4
When a Man Loves a Woman (1994),Drama|Romance,3
Wolf (1994),Drama|Horror|Romance|Thriller,0.5
Wyatt Earp (1994),Western,2
Bad Company (1995),Action|Crime|Drama,4
"Man of No Importance, A (1994)",Drama,0.5
S.F.W. (1994),Drama,1
"Low Down Dirty Shame, A (1994)",Action|Comedy,1
Boys Life (1995),Drama,3
"Colonel Chabert, Le (1994)",Drama|Romance|War,3
Faster Pussycat! Kill! Kill! (1965),Action|Crime|Drama,0.5
Jason's Lyric (1994),Crime|Drama,3.5
"Secret Adventures of Tom Thumb, The (1993)",Adventure|Animation,0.5
Street Fighter (1994),Action|Adventure|Fantasy,4
Fall Time (1995),Drama,4
Brother Minister: The Assassination of Malcolm X (1994),Documentary,0.5
Highlander III: The Sorcerer (a.k.a. Highlander: The Final Dimension) (1994),Action|Fantasy,4.5
In the Mouth of Madness (1995),Horror|Thriller,3.5
8 Seconds (1994),Drama,3.5
Above the Rim (1994),Crime|Drama,4.5
Addams Family Values (1993),Children|Comedy|Fantasy,3.5
"Age of Innocence, The (1993)",Drama,4
Airheads (1994),Comedy,3.5
"Air Up There, The (1994)",Comedy,0.5
Another Stakeout (1993),Comedy|Thriller,3
Bad Girls (1994),Western,0.5
Barcelona (1994),Comedy|Romance,1.5
Being Human (1993),Drama,5
"Beverly Hillbillies, The (1993)",Comedy,4
Beverly Hills Cop III (1994),Action|Comedy|Crime|Thriller,3.5
Black Beauty (1994),Adventure|Children|Drama,3.5
Blink (1994),Thriller,2
Blown Away (1994),Action|Thriller,2.5
Blue Chips (1994),Drama,1.5
Blue Sky (1994),Drama|Romance,1.5
Body Snatchers (1993),Horror|Sci-Fi|Thriller,3.5
Boxing Helena (1993),Drama|Mystery|Romance|Thriller,2
"Bronx Tale, A (1993)",Drama,4
Cabin Boy (1994),Comedy,2.5
Calendar Girl (1993),Comedy|Drama,2.5
Carlito's Way (1993),Crime|Drama,4
City Slickers II: The Legend of Curly's Gold (1994),Adventure|Comedy|Western,3.5
Clean Slate (1994),Comedy,1
Cliffhanger (1993),Action|Adventure|Thriller,5
Coneheads (1993),Comedy|Sci-Fi,3.5
Color of Night (1994),Drama|Thriller,3.5
Cops and Robbersons (1994),Comedy,2.5
"Cowboy Way, The (1994)",Action|Comedy|Drama,4
Dangerous Game (1993),Drama,4
Dave (1993),Comedy|Romance,3.5
Dazed and Confused (1993),Comedy,4
Demolition Man (1993),Action|Adventure|Sci-Fi,3
"Endless Summer 2, The (1994)",Adventure|Documentary,3.5
Even Cowgirls Get the Blues (1993),Comedy|Romance,4
Fatal Instinct (1993),Comedy,5
Farewell My Concubine (Ba wang bie ji) (1993),Drama|Romance,3.5
"Favor, The (1994)",Comedy|Romance,4
Fearless (1993),Drama,4.5
Fear of a Black Hat (1994),Comedy,3.5
With Honors (1994),Comedy|Drama,4
Flesh and Bone (1993),Drama|Mystery|Romance,5
Widows' Peak (1994),Drama,4.5
For Love or Money (1993),Comedy|Romance,5
"Firm, The (1993)",Drama|Thriller,5
Free Willy (1993),Adventure|Children|Drama,5
Fresh (1994),Crime|Drama|Thriller,4.5
"Fugitive, The (1993)",Thriller,3.5
Geronimo: An American Legend (1993),Drama|Western,5
"Getaway, The (1994)",Action|Adventure|Crime|Drama|Romance|Thriller,3.5
Getting Even with Dad (1994),Comedy,3
Go Fish (1994),Drama|Romance,5
Guilty as Sin (1993),Crime|Drama|Thriller,4
Hard Target (1993),Action|Adventure|Crime|Thriller,4
Heaven & Earth (1993),Action|Drama|War,5
Hot Shots! Part Deux (1993),Action|Comedy|War,4
Live Nude Girls (1995),Comedy,4.5
"Englishman Who Went Up a Hill But Came Down a Mountain, The (1995)",Comedy|Romance,3.5
"House of the Spirits, The (1993)",Drama|Romance,5
House Party 3 (1994),Comedy,4
"Hudsucker Proxy, The (1994)",Comedy,5
I'll Do Anything (1994),Comedy|Drama,3
In the Army Now (1994),Comedy|War,5
In the Line of Fire (1993),Action|Thriller,4.5
In the Name of the Father (1993),Drama,3.5
"Inkwell, The (1994)",Comedy|Drama,5
What's Love Got to Do with It? (1993),Drama|Musical,4
Judgment Night (1993),Action|Crime|Thriller,5
Jurassic Park (1993),Action|Adventure|Sci-Fi|Thriller,4
Kalifornia (1993),Drama|Thriller,4
Killing Zoe (1994),Crime|Drama|Thriller,4
King of the Hill (1993),Drama,3.5
Last Action Hero (1993),Action|Adventure|Comedy|Fantasy,4
Life with Mikey (1993),Comedy,4
Lightning Jack (1994),Comedy|Western,2.5
M. Butterfly (1993),Drama|Romance,3
Made in America (1993),Comedy,4
Malice (1993),Thriller,3
"Man Without a Face, The (1993)",Drama,5
Manhattan Murder Mystery (1993),Comedy|Mystery,4
Menace II Society (1993),Action|Crime|Drama,5
Executive Decision (1996),Action|Adventure|Thriller,3.5
In the Realm of the Senses (Ai no corrida) (1976),Drama,4
What Happened Was... (1994),Comedy|Drama|Romance|Thriller,5
Much Ado About Nothing (1993),Comedy|Romance,3
Mr. Jones (1993),Drama|Romance,5
Mr. Wonderful (1993),Comedy|Romance,5
Mrs. Doubtfire (1993),Comedy|Drama,5
Naked (1993),Drama,5
"Next Karate Kid, The (1994)",Action|Children|Romance,5
No Escape (1994),Action|Drama|Sci-Fi,4
North (1994),Comedy,4
Orlando (1992),Drama|Fantasy|Romance,3
"Perfect World, A (1993)",Crime|Drama|Thriller,4.5
Philadelphia (1993),Drama,4
"Piano, The (1993)",Drama|Romance,5
Poetic Justice (1993),Drama,5
"Program, The (1993)",Action|Drama,3
"Puppet Masters, The (1994)",Horror|Sci-Fi,4
Radioland Murders (1994),Comedy|Mystery|Romance,4.5
"Ref, The (1994)",Comedy,5
"Remains of the Day, The (1993)",Drama|Romance,5
Renaissance Man (1994),Comedy|Drama,5
Rising Sun (1993),Action|Drama|Mystery,5
"Road to Wellville, The (1994)",Comedy,4
RoboCop 3 (1993),Action|Crime|Drama|Sci-Fi|Thriller,3
Robin Hood: Men in Tights (1993),Comedy,4
Romeo Is Bleeding (1993),Crime|Thriller,3
Romper Stomper (1992),Action|Drama,3
Ruby in Paradise (1993),Drama,4.5
Rudy (1993),Drama,4
"Saint of Fort Washington, The (1993)",Drama,5
"Savage Nights (Nuits fauves, Les) (1992)",Drama,5
Schindler's List (1993),Drama|War,4.5
"Scout, The (1994)",Comedy|Drama,4
Searching for Bobby Fischer (1993),Drama,5
"Secret Garden, The (1993)",Children|Drama,2
Serial Mom (1994),Comedy|Crime|Horror,4
"Shadow, The (1994)",Action|Adventure|Fantasy|Mystery,5
Shadowlands (1993),Drama|Romance,4.5
Short Cuts (1993),Drama,4
"Simple Twist of Fate, A (1994)",Drama,3.5
Sirens (1994),Drama,4
Six Degrees of Separation (1993),Drama,1
Sleepless in Seattle (1993),Comedy|Drama|Romance,5
Sliver (1993),Thriller,1
Blade Runner (1982),Action|Sci-Fi|Thriller,3.5
Son in Law (1993),Comedy|Drama|Romance,3.5
So I Married an Axe Murderer (1993),Comedy|Romance|Thriller,2.5
Striking Distance (1993),Action|Crime,4
Harem (1985),Drama,2.5
Super Mario Bros. (1993),Action|Adventure|Children|Comedy|Fantasy|Sci-Fi,4.5
Surviving the Game (1994),Action|Adventure|Thriller,5
Terminal Velocity (1994),Action|Mystery|Thriller,3.5
Thirty-Two Short Films About Glenn Gould (1993),Drama|Musical,2.5
Threesome (1994),Comedy|Romance,4.5
"Nightmare Before Christmas, The (1993)",Animation|Children|Fantasy|Musical,3.5
"Three Musketeers, The (1993)",Action|Adventure|Comedy|Romance,4
Tombstone (1993),Action|Drama|Western,3.5
Trial by Jury (1994),Crime|Drama|Thriller,5
True Romance (1993),Crime|Thriller,5
"War Room, The (1993)",Documentary,3
"Pagemaster, The (1994)",Action|Adventure|Animation|Children|Fantasy,3
"Beans of Egypt, Maine, The (1994)",Drama,5
Welcome to the Dollhouse (1995),Comedy|Drama,5
Germinal (1993),Drama|Romance,5
Cronos (1993),Drama|Horror,5
Naked in New York (1994),Comedy|Romance,3
Kika (1993),Comedy|Drama,5
Bhaji on the Beach (1993),Comedy|Drama,5
Little Big League (1994),Comedy|Drama,5
"Slingshot, The (Kådisbellan) (1993)",Comedy|Drama,3.5
"Wedding Gift, The (1994)",Drama|Romance,5
"Ciao, Professore! (Io speriamo che me la cavo) (1992)",Drama,5
Spanking the Monkey (1994),Comedy|Drama,4
"Little Rascals, The (1994)",Children|Comedy,4
Andre (1994),Adventure|Children|Drama,4.5
Princess Caraboo (1994),Drama,4
"Celluloid Closet, The (1995)",Documentary,5
Dear Diary (Caro Diario) (1994),Comedy|Drama,5
"Brady Bunch Movie, The (1995)",Comedy,4.5
Home Alone (1990),Children|Comedy,4
Ghost (1990),Comedy|Drama|Fantasy|Romance|Thriller,4
Aladdin (1992),Adventure|Animation|Children|Comedy|Musical,4.5
Terminator 2: Judgment Day (1991),Action|Sci-Fi,5
Dances with Wolves (1990),Adventure|Drama|Western,4.5
Batman (1989),Action|Crime|Thriller,5
"Silence of the Lambs, The (1991)",Crime|Horror|Thriller,4
Snow White and the Seven Dwarfs (1937),Animation|Children|Drama|Fantasy|Musical,3.5
Beauty and the Beast (1991),Animation|Children|Fantasy|Musical|Romance|IMAX,4
Pinocchio (1940),Animation|Children|Fantasy|Musical,2
Pretty Woman (1990),Comedy|Romance,0.5
"Wild Bunch, The (1969)",Adventure|Western,3.5
Love and a .45 (1994),Action|Comedy|Crime,5
"Wooden Man's Bride, The (Yan shen) (1994)",Drama,4.5
"Great Day in Harlem, A (1994)",Documentary,3.5
"Bye Bye, Love (1995)",Comedy,5
One Fine Day (1996),Drama|Romance,3.5
Candyman: Farewell to the Flesh (1995),Fantasy|Horror,5
Fargo (1996),Comedy|Crime|Drama|Thriller,4
Homeward Bound II: Lost in San Francisco (1996),Adventure|Children,4
Heavy Metal (1981),Action|Adventure|Animation|Horror|Sci-Fi,3
Hellraiser: Bloodline (1996),Action|Horror|Sci-Fi,5
"Pallbearer, The (1996)",Comedy,2.5
Jane Eyre (1996),Drama|Romance,2.5
Loaded (1994),Drama|Thriller,2.5
Bread and Chocolate (Pane e cioccolata) (1973),Comedy|Drama,5
"Aristocats, The (1970)",Animation|Children,4
"Flower of My Secret, The (La flor de mi secreto) (1995)",Comedy|Drama,1.5
Two Much (1995),Comedy|Romance,5
Ed (1996),Comedy,3
My Favorite Season (1993),Drama,3
"Thin Line Between Love and Hate, A (1996)",Comedy,1.5
"Last Supper, The (1995)",Drama|Thriller,4.5
Primal Fear (1996),Crime|Drama|Mystery|Thriller,4
Carried Away (1996),Drama|Romance,4
All Dogs Go to Heaven 2 (1996),Adventure|Animation|Children|Fantasy|Musical|Romance,3
Land and Freedom (Tierra y libertad) (1995),Drama|War,5
Denise Calls Up (1995),Comedy,4
Theodore Rex (1995),Comedy,4.5
"Family Thing, A (1996)",Comedy|Drama,4
